fips,0-4,5-17,18-49,50-64,65+
40001,0.0602486141627841,0.29555605641879,0.368181714882666,0.587108778116795,0.612579669945367
40003,0.0559135599781731,0.274289981887953,0.341690023646634,0.544864680044756,0.568502870860341
40005,0.057559243207327,0.282363057959198,0.351746860337125,0.560901481608778,0.585235406593461
40007,0.0555748008588427,0.272628162595069,0.339619852984281,0.54156355095839,0.565058526913279
40009,0.0573401082371237,0.281288067795246,0.350407717682287,0.558766062124254,0.583007344926217
40011,0.0560821722020388,0.275117127286104,0.342720419757743,0.546507767078458,0.570217240923117
40013,0.0573584014608264,0.281377807171527,0.350519508311286,0.558944325348481,0.583193341850689
40015,0.0577412204024375,0.283255766661172,0.352858930327387,0.562674807188976,0.587085665419616
40017,0.0544496498264265,0.267108613197336,0.332744009574875,0.530599214981236,0.553618518580242
40019,0.056640587954108,0.277856495814612,0.34613292097576,0.551949399129822,0.575894950557575
40021,0.0581395653103862,0.28520989044848,0.355293232150945,0.566556585972185,0.591135849737156
40023,0.059088187870188,0.289863460438445,0.361090302933362,0.575800692906736,0.600780999300531
40025,0.0541211130039284,0.265496940480956,0.330736307781393,0.527397699807757,0.550278110156124
40027,0.05483364365192,0.268992336206223,0.33509061135384,0.534341145792801,0.55752278781781
40029,0.0591414284767575,0.290124637959915,0.361415658430755,0.57631951027546,0.60132232483396
40031,0.0572485544373283,0.280838940783883,0.349848228713435,0.55787389156935,0.582076468801675
40033,0.0575774668086092,0.282452455795207,0.3518582255007,0.561079066378657,0.585420695629793
40035,0.0584814069504973,0.286886831378573,0.357382240222306,0.569887753508965,0.59461153531072
40037,0.0560072961042942,0.274749814535812,0.342262848899816,0.545778116863795,0.569455935856094
40039,0.0563248320934077,0.276307521480902,0.344203324156108,0.548872431466166,0.572684492962509
40041,0.0574315160876533,0.281736478836789,0.35096631474928,0.559656810437397,0.583936737107032
40043,0.0557820647785551,0.273644918044126,0.340886451170039,0.54358328980784,0.567165889303159
40045,0.0558572427975457,0.274013711901561,0.341345867080895,0.544315882175052,0.567930264163898
40047,0.056640587954108,0.277856495814612,0.34613292097576,0.551949399129822,0.575894950557575
40049,0.0563992866296695,0.276672766216002,0.344658318834785,0.549597973661906,0.573441511789963
40051,0.0551389133379137,0.270489869482138,0.336956126736271,0.537315928114858,0.560626626903388
40053,0.0549101201795334,0.269367500037361,0.335557962503343,0.535086391825522,0.558300365305607
40055,0.0567700946120481,0.278491804653373,0.346924341393834,0.553211411489073,0.577211713555016
40057,0.0578863902617271,0.283967913018706,0.35374606920162,0.564089453814318,0.588561684506949
40059,0.0556502588716807,0.272998329992436,0.340080979948849,0.542298871800737,0.565825748620224
