"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
"08","Colorado","CO","08001","08001","1",0.543471833293956,0.549207471627833,0.435570240306488,0.588255408431393,FALSE
"08","Colorado","CO","08001","08001","2",0.572352644740887,0.571217168875189,0.521539940143317,0.648752819787564,FALSE
"08","Colorado","CO","08001","08001","3",0.583623828196353,0.584970013561539,0.523542632532091,0.648651564722735,FALSE
"08","Colorado","CO","08001","08001","4",0.613265183911458,0.623737839017726,0.471389634469216,0.685247801022178,FALSE
"08","Colorado","CO","08001","08003","1",6.16968766151634e-05,4.3987856031897e-05,9.9595145732597e-06,0.00026807693393024,FALSE
"08","Colorado","CO","08001","08003","2",0.000132821503807992,9.71052670892821e-05,1.07894741210313e-05,0.00056022269474585,FALSE
"08","Colorado","CO","08001","08003","3",0.000135201322375457,0.00010623482211477,9.9595145732597e-06,0.00064570852816633,FALSE
"08","Colorado","CO","08001","08003","4",0.000100840085054253,7.59412986211052e-05,1.24493932165746e-05,0.00045232795353554,FALSE
"08","Colorado","CO","08001","08005","1",0.0316496497294055,0.0325696875534287,0.0162165796039101,0.0394023295304587,FALSE
"08","Colorado","CO","08001","08005","2",0.0372956550669149,0.0379731391891959,0.0255959524532774,0.0464901840684285,FALSE
"08","Colorado","CO","08001","08005","3",0.0374915371190026,0.038292673615088,0.0253386649934682,0.0457083621744276,FALSE
"08","Colorado","CO","08001","08005","4",0.0367108519087301,0.0386727950879674,0.016326134264216,0.0447356495844393,FALSE
"08","Colorado","CO","08001","08007","1",3.9944767377752e-05,2.73886650764641e-05,9.9595145732597e-06,0.00017761134322313,FALSE
"08","Colorado","CO","08001","08007","2",6.47068461883159e-05,4.81376537707552e-05,9.9595145732597e-06,0.00026392713619138,FALSE
"08","Colorado","CO","08001","08007","3",9.21628113553598e-05,6.4736844726188e-05,1.1619433668803e-05,0.0003336437382042,FALSE
"08","Colorado","CO","08001","08007","4",4.7515184109926e-05,3.77631594236097e-05,1.1619433668803e-05,0.00021910932061171,FALSE
"08","Colorado","CO","08001","08009","1",2.22852967933577e-05,2.15789482420627e-05,1.07894741210313e-05,6.05870469873298e-05,FALSE
"08","Colorado","CO","08001","08009","2",3.01516949633495e-05,2.40688268853776e-05,9.9595145732597e-06,7.46963592994477e-05,FALSE
"08","Colorado","CO","08001","08009","3",2.12524067806443e-05,1.32793527643463e-05,1.07894741210313e-05,7.96761165860776e-05,FALSE
