county,infected,age_group,age_label,calibration_inc_hosp,raw_state_initial_exposed,state_initial_exposed,low_risk_population,prop_county_outflow,total_pop_outflow,allocation_weight
10001,41,0,0-4,2,202.02020202020205,202,10276.378302241534,0.100212032507696,18544,10545.488905002174
10003,119,0,0-4,2,202.02020202020205,202,29735.865810115654,0.0312776642486017,17923,30255.828194388665
10005,42,0,0-4,2,202.02020202020205,202,11265.848913934453,0.0552862766008858,13700,10718.150362610639
10001,6,4,65+,2,35.625222657641615,36,14490.978820788458,0.100212032507696,18544,14870.458432219602
10003,18,4,65+,2,35.625222657641615,36,45471.580408823385,0.0312776642486017,17923,46266.69804612421
10005,12,4,65+,2,35.625222657641615,36,34074.177093020575,0.0552862766008858,13700,32417.63282600884
