"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
35,"New-Mexico","NM","35001","35001","1",0.705726822975132,0.715981800345544,0.507713744667975,0.802112921803469,FALSE
35,"New-Mexico","NM","35001","35001","2",0.760973558077793,0.767544437611643,0.648684807754253,0.832119901021992,FALSE
35,"New-Mexico","NM","35001","35001","3",0.76458616088234,0.773072295918865,0.638719899069763,0.847896961355628,FALSE
35,"New-Mexico","NM","35001","35001","4",0.820348252182146,0.836469711167726,0.582922755180728,0.936944224818687,FALSE
35,"New-Mexico","NM","35001","35003","1",3.10285227460779e-05,2.80632912627993e-05,8.54100168867805e-06,0.00010920280730524,FALSE
35,"New-Mexico","NM","35001","35003","2",6.19697122522967e-05,5.4906439427216e-05,9.76114478706063e-06,0.00020681425517584,FALSE
35,"New-Mexico","NM","35001","35003","3",7.30007593312513e-05,6.28373695667028e-05,1.03712163362519e-05,0.00028795377121828,FALSE
35,"New-Mexico","NM","35001","35003","4",6.76337941603439e-05,5.91769402715551e-05,1.09812878854432e-05,0.00023914804728298,FALSE
35,"New-Mexico","NM","35001","35005","1",0.000641327548228185,0.00060580104834695,0.00030198541684968,0.00125247689048972,FALSE
35,"New-Mexico","NM","35001","35005","2",0.000834644920123261,0.00080102394408816,0.00041484865345007,0.0017716477788515,FALSE
35,"New-Mexico","NM","35001","35005","3",0.0007899034007404,0.000722019678467885,0.00038068464669536,0.00258731344012026,FALSE
35,"New-Mexico","NM","35001","35005","4",0.000850738144134758,0.000759234042968555,0.00039776665007272,0.00180642185715541,FALSE
35,"New-Mexico","NM","35001","35006","1",0.000852337739947915,0.00084128866633478,0.00035384149853094,0.00124027545950589,FALSE
35,"New-Mexico","NM","35001","35006","2",0.00108508934719072,0.00105847413784689,0.00063203412496217,0.00191318437826388,FALSE
35,"New-Mexico","NM","35001","35006","3",0.00110640454173335,0.0010648798891134,0.00072842542973439,0.00175334563237577,FALSE
35,"New-Mexico","NM","35001","35006","4",0.00111727973021893,0.0010789115347448,0.00057712768553496,0.00217673528751452,FALSE
35,"New-Mexico","NM","35001","35007","1",0.000265225216724524,0.000252874657139785,0.00011286323660038,0.00048195652386111,FALSE
35,"New-Mexico","NM","35001","35007","2",0.000446337731104484,0.00035140121233418,0.0001049323064609,0.00145258035862446,FALSE
35,"New-Mexico","NM","35001","35007","3",0.000492891393259119,0.00039837672162191,0.00012323445293664,0.00167586654562847,FALSE
35,"New-Mexico","NM","35001","35007","4",0.00040847605824602,0.000354146534305535,4.02647222466251e-05,0.00125064667584214,FALSE
35,"New-Mexico","NM","35001","35009","1",0.000313868254913377,0.00029863002332913,0.0001189639520923,0.00060336076215018,FALSE
