"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
"01","Alabama","AL","01001","01001","1",0.49083890275268,0.492501260034175,0.425246167652157,0.540548514388976,FALSE
"01","Alabama","AL","01001","01001","2",0.512082616634721,0.510891612474953,0.447170762289943,0.580795849877685,FALSE
"01","Alabama","AL","01001","01001","3",0.522298930347235,0.518424158235707,0.459070402104564,0.609272622223315,FALSE
"01","Alabama","AL","01001","01001","4",0.545899918278165,0.547998082289451,0.436955265713548,0.633151806458751,FALSE
"01","Alabama","AL","01001","01003","1",0.00328530861617515,0.0014782352145746,0.00027044635942321,0.0181321990976926,FALSE
"01","Alabama","AL","01001","01003","2",0.0059750813804436,0.00537819464762069,0.00058391827602738,0.0214697530333018,FALSE
"01","Alabama","AL","01001","01003","3",0.0063196793553756,0.00550727131916359,0.00057162525968997,0.0204678722018022,FALSE
"01","Alabama","AL","01001","01003","4",0.00276171965402107,0.00186546522920329,0.00027659286759192,0.0165648395146717,FALSE
"01","Alabama","AL","01001","01005","1",0.000318556065336315,0.0002642998512545,5.53185735183842e-05,0.00103261337234317,FALSE
"01","Alabama","AL","01001","01005","2",0.000282739375760626,0.00024586032674837,6.14650816870936e-05,0.00089124368446285,FALSE
"01","Alabama","AL","01001","01005","3",0.000352837193639727,0.00028273937576063,6.14650816870936e-05,0.0011186644867051,FALSE
"01","Alabama","AL","01001","01005","4",0.000331219958941322,0.00025815334308579,5.53185735183842e-05,0.00432099524260268,FALSE
"01","Alabama","AL","01001","01007","1",0.000361526435014081,0.00033805794927901,6.14650816870936e-05,0.00097729479882478,FALSE
"01","Alabama","AL","01001","01007","2",0.000396829617274198,0.0003995230309661,6.14650816870936e-05,0.00132764576444122,FALSE
"01","Alabama","AL","01001","01007","3",0.00034687685230368,0.000322691678857235,5.53185735183842e-05,0.0007928995537635,FALSE
"01","Alabama","AL","01001","01007","4",0.000348255565104369,0.00030732540843546,5.53185735183842e-05,0.00154892005851476,FALSE
"01","Alabama","AL","01001","01009","1",0.000161214128539288,0.0001352231797116,6.14650816870936e-05,0.00068226240672673,FALSE
"01","Alabama","AL","01001","01009","2",0.000181936641793793,0.00012907667154289,5.53185735183842e-05,0.00106949242135543,FALSE
"01","Alabama","AL","01001","01009","3",0.000164460623973571,0.000126003417458535,6.14650816870936e-05,0.00087895066812543,FALSE
"01","Alabama","AL","01001","01009","4",0.000157174994599851,0.00012907667154289,5.53185735183842e-05,0.0005962112923648,FALSE
"01","Alabama","AL","01001","01011","1",0.000320785483285928,0.0002642998512545,6.14650816870936e-05,0.00113710401121123,FALSE
"01","Alabama","AL","01001","01011","2",0.000186781536467953,0.00019054175322999,6.14650816870936e-05,0.00047942763715933,FALSE
"01","Alabama","AL","01001","01011","3",0.000308896182745244,0.00030117890026675,6.14650816870936e-05,0.0007928995537635,FALSE
"01","Alabama","AL","01001","01011","4",0.000470875973620252,0.00040566953913481,7.37580980245123e-05,0.00271061010240083,FALSE
"01","Alabama","AL","01001","01013","1",0.000939323037249203,0.000875877414041075,6.14650816870936e-05,0.0022987940550973,FALSE
"01","Alabama","AL","01001","01013","2",0.00103497741394652,0.00096500178248736,0.0003319114411103,0.002495482316496,FALSE
"01","Alabama","AL","01001","01013","3",0.00104316933202421,0.000992661069246555,0.00031347191660417,0.00231723357960343,FALSE
"01","Alabama","AL","01001","01013","4",0.00105205504492028,0.00094656225798124,0.00020898127773611,0.0026921705778947,FALSE
"01","Alabama","AL","01001","01015","1",0.000854091457309765,0.00070684843940157,0.0001352231797116,0.00244631025114632,FALSE
"01","Alabama","AL","01001","01015","2",0.00107982666036435,0.00095885527431866,0.00012907667154289,0.00483115542060555,FALSE
"01","Alabama","AL","01001","01015","3",0.000996870091144696,0.00094041574981253,0.00019668826139869,0.00226806151425375,FALSE
"01","Alabama","AL","01001","01015","4",0.000592728271069202,0.000507086923918515,6.76115898558029e-05,0.00223732897341021,FALSE
"01","Alabama","AL","01001","01017","1",0.000444187656992058,0.00040566953913481,6.76115898558029e-05,0.00121700861740445,FALSE
"01","Alabama","AL","01001","01017","2",0.000373856293558306,0.0003319114411103,6.14650816870936e-05,0.00159809212386443,FALSE
"01","Alabama","AL","01001","01017","3",0.000513233432087227,0.00037493699829127,6.76115898558029e-05,0.00483115542060555,FALSE
"01","Alabama","AL","01001","01017","4",0.000406234735288258,0.00036264398195385,6.14650816870936e-05,0.00247704279198987,FALSE
"01","Alabama","AL","01001","01019","1",0.000146363725767388,0.000132149925627245,6.14650816870936e-05,0.00055318573518384,FALSE
"01","Alabama","AL","01001","01019","2",0.000141597336331005,0.00012293016337418,5.53185735183842e-05,0.00044869509631578,FALSE
"01","Alabama","AL","01001","01019","3",0.000169697073353493,0.0001352231797116,5.53185735183842e-05,0.00048557414532803,FALSE
"01","Alabama","AL","01001","01019","4",0.000138296433795957,0.00012907667154289,5.53185735183842e-05,0.00041796255547223,FALSE
"01","Alabama","AL","01001","01021","1",0.0125568381269268,0.012538876664167,0.00747415393315058,0.0177080900340517,FALSE
"01","Alabama","AL","01001","01021","2",0.0144957627593742,0.0141922873615499,0.00988358513528464,0.0194659913703025,FALSE
"01","Alabama","AL","01001","01021","3",0.0139509032961853,0.0138941817153675,0.00867886953421761,0.0201175212361857,FALSE
"01","Alabama","AL","01001","01021","4",0.0143817601568375,0.0143398035575989,0.0095885527431866,0.0258522133575916,FALSE
"01","Alabama","AL","01001","01023","1",0.000152638286189613,6.76115898558029e-05,6.14650816870936e-05,0.00053474621067771,FALSE
"01","Alabama","AL","01001","01023","2",0.000124686308565244,0.00012293016337418,5.53185735183842e-05,0.0003319114411103,FALSE
"01","Alabama","AL","01001","01023","3",0.000121455001413694,7.37580980245123e-05,5.53185735183842e-05,0.00032576493294159,FALSE
"01","Alabama","AL","01001","01023","4",0.00014437464742946,6.76115898558029e-05,5.53185735183842e-05,0.00066382288222061,FALSE
"01","Alabama","AL","01001","01025","1",0.000178816106877372,0.00012907667154289,6.14650816870936e-05,0.00129076671542896,FALSE
"01","Alabama","AL","01001","01025","2",0.000178330690334818,6.76115898558029e-05,5.53185735183842e-05,0.00150589450133379,FALSE
"01","Alabama","AL","01001","01025","3",0.000200413417864579,0.00018439524506128,5.53185735183842e-05,0.00054089271884642,FALSE
"01","Alabama","AL","01001","01025","4",0.000244561768684558,0.0002028347695674,5.53185735183842e-05,0.00104490638868059,FALSE
"01","Alabama","AL","01001","01027","1",0.000175847757139166,0.0001352231797116,6.14650816870936e-05,0.00070684843940157,FALSE
"01","Alabama","AL","01001","01027","2",0.000146771164755844,0.000126003417458535,5.53185735183842e-05,0.00041796255547223,FALSE
"01","Alabama","AL","01001","01027","3",0.000254141039142326,0.000224347548157885,5.53185735183842e-05,0.00069455542306415,FALSE
"01","Alabama","AL","01001","01027","4",0.00015769320137754,0.0001352231797116,5.53185735183842e-05,0.00066382288222061,FALSE
"01","Alabama","AL","01001","01029","1",0.000153330460532935,0.0001352231797116,5.53185735183842e-05,0.0003319114411103,FALSE
"01","Alabama","AL","01001","01029","2",0.000870802971250634,0.00012293016337418,5.53185735183842e-05,0.0150650915215066,FALSE
"01","Alabama","AL","01001","01029","3",0.000135329153990373,0.000119856909289825,6.14650816870936e-05,0.00062694383320835,FALSE
"01","Alabama","AL","01001","01029","4",0.000147516196049021,0.0001352231797116,5.53185735183842e-05,0.00056547875152126,FALSE
"01","Alabama","AL","01001","01031","1",0.000438450916034597,0.00031961842477288,6.14650816870936e-05,0.00245860326748374,FALSE
"01","Alabama","AL","01001","01031","2",0.000337158460278711,0.000322691678857235,6.14650816870936e-05,0.00119856909289832,FALSE
"01","Alabama","AL","01001","01031","3",0.000509312383772706,0.00027659286759192,6.14650816870936e-05,0.00900463446715921,FALSE
"01","Alabama","AL","01001","01031","4",0.000399380088915669,0.000279666121676275,5.53185735183842e-05,0.00240943120213407,FALSE
"01","Alabama","AL","01001","01033","1",0.000230030963245392,0.00019668826139869,6.14650816870936e-05,0.0007928995537635,FALSE
"01","Alabama","AL","01001","01033","2",0.000232641124248543,0.0002028347695674,5.53185735183842e-05,0.00066996939038932,FALSE
"01","Alabama","AL","01001","01033","3",0.000232142033154439,0.00017824873689257,5.53185735183842e-05,0.00075602050475125,FALSE
"01","Alabama","AL","01001","01033","4",0.000213108218935105,0.00015980921238644,6.14650816870936e-05,0.00105719940501801,FALSE
"01","Alabama","AL","01001","01035","1",0.0003786972150533,0.00031961842477288,6.76115898558029e-05,0.00121086210923574,FALSE
"01","Alabama","AL","01001","01035","2",0.000475671437722892,0.0003995230309661,6.14650816870936e-05,0.00140755037063444,FALSE
"01","Alabama","AL","01001","01035","3",0.000505972447162653,0.00043640207997836,6.14650816870936e-05,0.00178248736892571,FALSE
"01","Alabama","AL","01001","01035","4",0.000476523243189496,0.00043640207997836,6.14650816870936e-05,0.00156735958302089,FALSE
