fips,0-4,5-17,18-49,50-64,65+
30001,477,1190,3813,1837,2273
30003,904,3292,4819,2175,1773
30005,530,1527,2640,1153,1147
30007,361,1035,2528,1664,1722
30009,399,1493,3500,2525,2960
30011,90,149,331,381,410
30013,5022,13978,33970,15277,16354
30015,374,993,2071,1127,1323
30017,598,1783,4651,2472,2434
30019,36,271,473,303,441
30021,452,1418,3364,1807,1833
30023,337,847,3623,2283,2422
30025,196,518,1108,425,570
30027,614,1789,3964,2357,2857
30029,5806,17791,41003,21326,22519
30031,5861,17638,63772,18693,16230
30033,73,148,293,165,259
30035,1045,3031,5499,2376,1762
30037,40,82,250,231,237
30039,154,363,1074,771,1057
30041,1401,3217,6283,2767,2592
30043,551,1975,4211,2916,2848
30045,83,373,561,454,582
30047,1633,5604,10894,6378,7564
30049,3941,11601,27948,14638,14452
30051,165,415,682,300,406
30053,909,2816,5974,4818,6139
30055,100,244,510,442,522
30057,342,1067,2772,2052,2742
30059,57,180,546,514,682
30061,312,687,1387,1063,1347
30063,5526,16546,57423,20252,19892
30065,210,781,1495,1124,1458
30067,819,2150,6465,3821,4229
30069,16,37,128,108,112
30071,264,727,1367,866,1000
30073,388,1024,2084,1219,1297
30075,92,233,573,307,557
30077,242,789,2966,1562,1470
30079,51,219,413,144,424
30081,1962,6639,14796,10286,12124
30083,665,2199,4452,2069,1944
30085,900,2657,4168,1672,1268
30087,621,1763,2932,1543,1377
30089,495,1738,3592,2926,4185
30091,275,517,1257,789,839
30093,1993,5341,14587,6819,6849
30095,376,1532,2918,1967,2259
30097,197,560,1299,788,869
30099,410,1164,2017,1242,1458
30101,296,719,2177,959,877
30103,28,92,239,230,172
30105,417,1282,2556,1452,1833
30107,61,387,648,361,592
30109,57,265,300,254,272
30111,9608,29234,68065,30584,29849
