"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
30,"Montana","MT","30001","30001","1",0.683784531602744,0.686767785386836,0.504499405738865,0.815552662855849,FALSE
30,"Montana","MT","30001","30001","2",0.698550077462297,0.698511517346766,0.552210085460411,0.848378516045051,FALSE
30,"Montana","MT","30001","30001","3",0.674607578490454,0.67649555719056,0.560416548757711,0.776671005716226,FALSE
30,"Montana","MT","30001","30001","4",0.70674012702178,0.728592450053766,0.426283321070802,0.892580225253268,FALSE
30,"Montana","MT","30001","30003","1",0.00183937970456732,0.00183937970456732,0.0011885222706435,0.00249023713849114,FALSE
30,"Montana","MT","30001","30003","2",0.00176863433131473,0.0012734167185466,0.00107532967343936,0.0035655668119305,FALSE
30,"Montana","MT","30001","30003","3",0.00130171486784764,0.00130171486784764,0.00101873337483729,0.001584696360858,FALSE
30,"Montana","MT","30001","30003","4",0.00137246024110024,0.00113192597204143,0.00101873337483729,0.00220725564548079,FALSE
30,"Montana","MT","30001","30005","1",0.00171203803271266,0.00113192597204143,0.00096213707623521,0.00362216311053257,FALSE
30,"Montana","MT","30001","30005","2",0.00151678080253551,0.00124511856924557,0.0011885222706435,0.00260342973569529,FALSE
30,"Montana","MT","30001","30005","3",0,0,0,0,TRUE
30,"Montana","MT","30001","30005","4",0.00172618710736318,0.00121682041994454,0.00113192597204143,0.00333918161752221,FALSE
30,"Montana","MT","30001","30007","1",0.00257917417915154,0.00223555379478182,0.00096213707623521,0.00599920765181957,FALSE
30,"Montana","MT","30001","30007","2",0.00300050217985585,0.00243364083988907,0.00101873337483729,0.0127341671854661,FALSE
30,"Montana","MT","30001","30007","3",0.00279028735647673,0.00220725564548079,0.00101873337483729,0.00809327070009621,FALSE
30,"Montana","MT","30001","30007","4",0.0039043474725767,0.00294300752730771,0.00107532967343936,0.010300526345577,FALSE
30,"Montana","MT","30001","30009","1",0.00139671579764398,0.00116022412134247,0.00101873337483729,0.00384854830494086,FALSE
30,"Montana","MT","30001","30009","2",0.00225227542845971,0.00144320561435283,0.00101873337483729,0.00786688550568793,FALSE
30,"Montana","MT","30001","30009","3",0.0019906284335901,0.00152810006225593,0.00090554077763314,0.00464089648536986,FALSE
30,"Montana","MT","30001","30009","4",0.00188257161665838,0.00130171486784764,0.00107532967343936,0.00548984096440093,FALSE
30,"Montana","MT","30001","30011","1",0.00113192597204143,0.00113192597204143,0.00113192597204143,0.00113192597204143,FALSE
30,"Montana","MT","30001","30011","2",0.0011885222706435,0.0011885222706435,0.0011885222706435,0.0011885222706435,FALSE
30,"Montana","MT","30001","30011","3",0.00107532967343936,0.00107532967343936,0.00107532967343936,0.00107532967343936,FALSE
30,"Montana","MT","30001","30011","4",0.00107532967343936,0.00107532967343936,0.00107532967343936,0.00107532967343936,FALSE
30,"Montana","MT","30001","30013","1",0.00647809940922171,0.00492387797838021,0.00101873337483729,0.0266568566415756,FALSE
30,"Montana","MT","30001","30013","2",0.00613999094459222,0.0056313317109061,0.00101873337483729,0.0170354858792235,FALSE
30,"Montana","MT","30001","30013","3",0.00411207482030675,0.00311279642311393,0.00090554077763314,0.0143188635463241,FALSE
30,"Montana","MT","30001","30013","4",0.00806773334584894,0.00619729469692682,0.00113192597204143,0.0242232158016866,FALSE
30,"Montana","MT","30001","30015","1",0.00127341671854661,0.00130171486784764,0.00113192597204143,0.00141490746505179,FALSE
30,"Montana","MT","30001","30015","2",0.00169788895806214,0.0012734167185466,0.0011885222706435,0.00271662233289943,FALSE
30,"Montana","MT","30001","30015","3",0.00140075839040126,0.00135831116644971,0.00135831116644971,0.00152810006225593,FALSE
30,"Montana","MT","30001","30015","4",0.00129172728574139,0.0011885222706435,0.00101873337483729,0.00254683343709321,FALSE
30,"Montana","MT","30001","30017","1",0.0013469919067293,0.00113192597204143,0.00101873337483729,0.00232044824268493,FALSE
30,"Montana","MT","30001","30017","2",0.00197491294595649,0.00135831116644971,0.00101873337483729,0.00532005206859471,FALSE
30,"Montana","MT","30001","30017","3",0.00261050427302055,0.00243364083988907,0.00135831116644971,0.00543324466579886,FALSE
30,"Montana","MT","30001","30017","4",0.00184086908084632,0.00130171486784764,0.00101873337483729,0.00481068538117607,FALSE
30,"Montana","MT","30001","30019","1",0,0,0,0,TRUE
30,"Montana","MT","30001","30019","2",0.001584696360858,0.001584696360858,0.001584696360858,0.001584696360858,FALSE
30,"Montana","MT","30001","30019","3",0,0,0,0,TRUE
30,"Montana","MT","30001","30019","4",0.00101873337483729,0.00101873337483729,0.00101873337483729,0.00101873337483729,FALSE
30,"Montana","MT","30001","30021","1",0.00199704082210166,0.00226385194408286,0.00113192597204143,0.00243364083988907,FALSE
30,"Montana","MT","30001","30021","2",0.00151678080253551,0.00124511856924557,0.00124511856924557,0.00254683343709321,FALSE
30,"Montana","MT","30001","30021","3",0.0016155670691864,0.00135831116644971,0.00101873337483729,0.0027732186315015,FALSE
30,"Montana","MT","30001","30021","4",0.0011885222706435,0.00116022412134247,0.00107532967343936,0.00141490746505179,FALSE
30,"Montana","MT","30001","30023","1",0.00486312018723387,0.00353726866262946,0.00101873337483729,0.0147150376365386,FALSE
30,"Montana","MT","30001","30023","2",0.00345751933278109,0.00254683343709321,0.00101873337483729,0.0105835078385874,FALSE
30,"Montana","MT","30001","30023","3",0.00480454843313488,0.00390514460354293,0.00096213707623521,0.0224687305450224,FALSE
