"state_fips","state_name","state_abbr","geoid_o","geoid_d","quarter","mean_max_norm_prop_flow","median_max_norm_prop_flow","min_max_norm_prop_flow","max_max_norm_prop_flow","imputed"
46,"South-Dakota","SD","46003","46003","1",0.4455257397343,0.4453125,0.395380434782609,0.498131793478261,FALSE
46,"South-Dakota","SD","46003","46003","2",0.444244953416149,0.4453125,0.387058423913043,0.511548913043478,FALSE
46,"South-Dakota","SD","46003","46003","3",0.429763188208885,0.433338994565218,0.345278532608696,0.499320652173913,FALSE
46,"South-Dakota","SD","46003","46003","4",0.473470359758979,0.479364809782609,0.361073369565217,0.537364130434783,FALSE
46,"South-Dakota","SD","46003","46005","1",0.0056307483277592,0.0030570652173913,0.00237771739130435,0.0285326086956522,FALSE
46,"South-Dakota","SD","46003","46005","2",0.00628396739130435,0.00543478260869565,0.00237771739130435,0.0271739130434783,FALSE
46,"South-Dakota","SD","46003","46005","3",0.0111079328756674,0.00645380434782609,0.00254755434782609,0.0641983695652174,FALSE
46,"South-Dakota","SD","46003","46005","4",0.00884001358695652,0.00611413043478261,0.00254755434782609,0.028023097826087,FALSE
46,"South-Dakota","SD","46003","46007","1",0.00277400362318841,0.00254755434782609,0.00254755434782609,0.00322690217391304,FALSE
46,"South-Dakota","SD","46003","46007","2",0.00254755434782609,0.00254755434782609,0.00254755434782609,0.00254755434782609,FALSE
46,"South-Dakota","SD","46003","46007","3",0.00284476902173913,0.0028023097826087,0.00271739130434783,0.0030570652173913,FALSE
46,"South-Dakota","SD","46003","46007","4",0.00475543478260869,0.00373641304347826,0.0030570652173913,0.011039402173913,FALSE
46,"South-Dakota","SD","46003","46009","1",0.0031541149068323,0.0030570652173913,0.00220788043478261,0.00611413043478261,FALSE
46,"South-Dakota","SD","46003","46009","2",0.00456561700767263,0.00288722826086957,0.00237771739130435,0.0174932065217391,FALSE
46,"South-Dakota","SD","46003","46009","3",0.00450067934782609,0.00356657608695652,0.00254755434782609,0.0086616847826087,FALSE
46,"South-Dakota","SD","46003","46009","4",0.00368788819875776,0.00322690217391304,0.00288722826086957,0.00730298913043478,FALSE
46,"South-Dakota","SD","46003","46011","1",0.0102527889016018,0.00322690217391304,0.00254755434782609,0.0480638586956522,FALSE
46,"South-Dakota","SD","46003","46011","2",0.00457751035196687,0.0030570652173913,0.00220788043478261,0.0125679347826087,FALSE
46,"South-Dakota","SD","46003","46011","3",0.00748641304347826,0.0030570652173913,0.00254755434782609,0.0341372282608696,FALSE
46,"South-Dakota","SD","46003","46011","4",0.00782948369565217,0.00339673913043478,0.00271739130434783,0.0562160326086957,FALSE
46,"South-Dakota","SD","46003","46013","1",0.00599736752717391,0.00450067934782609,0.00254755434782609,0.0147758152173913,FALSE
46,"South-Dakota","SD","46003","46013","2",0.00469011287625418,0.00288722826086957,0.00254755434782609,0.0144361413043478,FALSE
46,"South-Dakota","SD","46003","46013","3",0.00638303894927536,0.00543478260869565,0.00254755434782609,0.0217391304347826,FALSE
46,"South-Dakota","SD","46003","46013","4",0.00930411153119092,0.00815217391304348,0.00271739130434783,0.0268342391304348,FALSE
